,Unnamed: 0,Unnamed: 0.1,accessibleTH,agence,alternance,appellationlibelle,competences,complementExercice,conditionExercice,contact,dateActualisation,dateCreation,deplacementCode,deplacementLibelle,description,dureeTravailLibelle,dureeTravailLibelleConverti,entreprise,experienceCommentaire,experienceExige,experienceLibelle,formations,id,intitule,langues,lieuTravail,natureContrat,nombrePostes,origineOffre,outilsBureautiques,permis,qualificationCode,qualificationLibelle,qualitesProfessionnelles,romeCode,romeLibelle,salaire,secteurActivite,secteurActiviteLibelle,trancheEffectifEtab,typeContrat,typeContratLibelle
0,0,0,False,,False,Conducteur / Conductrice de véhicules Super Lourds,"[{'exigence': 'E', 'libelle': 'carte conducteur'}, {'exigence': 'E', 'libelle': ' FIMO/FCO'}, {'code': '120376', 'exigence': 'S', 'libelle': ""Contrôler l'état de fonctionnement du véhicule""}, {'code': '124795', 'exigence': 'S', 'libelle': 'Définir un itinéraire en fonction des consignes de livraison'}, {'code': '110473', 'exigence': 'S', 'libelle': 'Organiser ou contrôler le chargement des marchandises dans le véhicule'}, {'code': '120377', 'exigence': 'S', 'libelle': ""Réaliser les opérations d'attelage""}, {'code': '110474', 'exigence': 'S', 'libelle': 'Vérifier la présence et la conformité des documents de bord et de transport'}]",,,"{'coordonnees1': 'Courriel : cv-fpotin@sbc-interim.fr', 'courriel': 'cv-fpotin@sbc-interim.fr', 'nom': 'SBC INTERIM - M. François Potin'}",,2020-01-15T09:12:33+01:00,,,"Vous aurez en charge la livraison de produits secs pour des supermarchés (1 à 2 livraisons par jour).
Le chargement s'effectue sur la plateforme à saint cesaire et les déchargement dans les magasins à quai avec un transpalette électrique sur la région Occitanie. 

Travail du lundi au samedi avec horaires variables.",35H Horaires normaux,Temps plein,"{'description': ""Spécialiste du recrutement et de l'intérim dans la région depuis plus de 20 ans !"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/Ltqf0usWxhibeLn1H9Lh7wWAKV5wIGU2.png', 'nom': 'SBC INTERIM'}",,E,2 ans,[],098CVPX,Conducteur / Conductrice de véhicules Super Lourds    (H/F),[],"{'codePostal': '30000', 'commune': '30189', 'latitude': 43.83694444, 'libelle': '30 - NIMES', 'longitude': 4.36}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVPX'}",,"[{'exigence': 'E', 'libelle': 'EC - Poids lourd + remorque Exigé'}]",6,Employé qualifié,,N4101,Conduite de transport de marchandises sur longue distance,"{'libelle': 'Horaire de 10,15 Euros sur 12 mois'}",78.0,Activités des agences de travail temporaire,3 à 5 salariés,MIS,Mission intérimaire - 6 Mois
1,1,1,False,{'courriel': 'entreprise.pic0010@pole-emploi.net'},False,Chef d'équipe gros oeuvre,"[{'code': '118365', 'exigence': 'S', 'libelle': 'Affecter le personnel sur des postes de travail'}, {'code': '117170', 'exigence': 'S', 'libelle': 'Coordonner les prestataires, fournisseurs, intervenants'}, {'code': '120648', 'exigence': 'S', 'libelle': ""Planifier l'activité du personnel""}, {'code': '123640', 'exigence': 'S', 'libelle': 'Présenter le chantier à un intervenant'}, {'code': '118772', 'exigence': 'S', 'libelle': ""Suivre l'état d'avancement des travaux jusqu'à réception""}]",,,"{'coordonnees1': '11 RUE Paul Vimereu\nCS80704', 'coordonnees2': '80142 ABBEVILLE', 'coordonnees3': 'Courriel : entreprise.pic0010@pole-emploi.net', 'nom': 'Pôle Emploi ABBEVILLE'}",,2020-01-15T09:10:40+01:00,,,"Axxis Intérim et Recrutement ABBEVILLE recrute pour l'un de ses clients, entreprise spécialisée dans la construction de bâtiment, des CHEFS D'EQUIPE H/F. Le dépôt est basé à Verton mais postes à pourvoir en GD. Postes à pourvoir pour début mars en CDI
Vos missions :
- Préparer le chantier en fonction des contraintes et des obstacles du terrain, puis repartir le travail
- Suivre l'avancement des travaux et en vérifier la qualité
- Assister à la réception des travaux à la fin du chantier 
- Veiller à la remise en état des abords
- Coordonner et contrôler les travaux de l'équipe 
Vous êtes à même de répondre à toutes les tâches inhérentes à ce métier et justifiez d'une expérience d'au moins 4 ans sur un poste similaire.
Capacité d'adaptation, organisation, gestion du stress, persévérance et travail en équipe sont indispensables pour ce poste.
Code agence : A8004
Si vous estimez posséder les compétences requises, merci de nous faire parvenir votre candidature.",39H Horaires normaux,Temps plein,{'nom': 'AXXIS INTERIM ET RECRUTEMENT'},,E,4 ans,[],098CVNQ,Chef d'équipe gros oeuvre (H/F),[],"{'codePostal': '62180', 'commune': '62849', 'latitude': 50.40222222, 'libelle': '62 - VERTON', 'longitude': 1.649444444}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVNQ'}",,,4,"Ouvrier qualifié (P3,P4,OHQ)","[{'description': 'Capacité à faire des choix pour agir, à prendre en charge son activité et à rendre compte, sans devoir être encadré de façon continue. Exemple : savoir faire des choix', 'libelle': 'Capacité de décision'}, {'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité', 'libelle': 'Sens de l’organisation'}, {'description': 'Capacité à être proactif, à initier, à imaginer des propositions nouvelles pour résoudre les problèmes identifiés ou pour améliorer une situation. Exemple : proposer des améliorations, être positif et constructif', 'libelle': 'Force de proposition'}]",F1202,Direction de chantier du BTP,{'libelle': 'Annuel de 23000 Euros à 40000 Euros sur 12 mois'},78.0,Activités des agences de travail temporaire,,CDI,Contrat à durée indéterminée
2,2,2,False,,False,Ingénieur / Ingénieure génie civil,"[{'code': '118773', 'exigence': 'S', 'libelle': ""Contrôler la conformité des travaux jusqu'à réception""}, {'code': '117309', 'exigence': 'S', 'libelle': 'Établir un cahier des charges'}, {'code': '103208', 'exigence': 'S', 'libelle': 'Intervenir en génie civil'}, {'code': '103199', 'exigence': 'S', 'libelle': ""Superviser et contrôler l'exécution d'études, de documents et de plans de détails confiés aux bureaux d'études""}]",,,"{'coordonnees1': 'Courriel : ote.rh@ote.fr', 'courriel': 'ote.rh@ote.fr', 'nom': 'O.T.E. INGENIERIE - Mme ANNE HOFFER'}",,2020-01-15T09:10:17+01:00,2.0,Ponctuels National,"Liaisons hiérarchiques :
Vous travaillerez en autonomie et dépendrez du chef d'Agence au niveau hiérarchique et du chef du département Génie Civil du Siège au niveau Technique.


Missions :
Vos missions sont étendues à l'ensemble du domaine des Structures et du Génie Civil et comprennent plus particulièrement:
- la définition des projets quant aux structures.
- le pré-dimensionnement des ouvrages.
- la conception des ouvrages.
- la rédaction des spécifications et cahiers de charges.
- l'organisation du travail des projeteurs et dessinateurs.
- la supervision de l'exécution des plans et documents.
- le contrôle et la réception des travaux.
- la responsabilité d'études dans le domaine du Génie Civil.
- le cas échéant la fonction de Chef de Projet TCE.
- les relations avec les partenaires de la construction (Maîtres d'Ouvrages, Architectes, Bureaux de Contrôle, BET partenaires, Entreprises, etc...).

Statut :
Ingénieur Structures
IC (Ingénieurs, cadres)",37H Horaires normaux,Temps plein,"{'description': ""Créé en 1962, O.T.E. Ingénierie, Bureau d Études pluridisciplinaire, est une société d'ingénierie privée détenue principalement par une vingtaine d'associés actifs au sein de la société.\n\nForts de 200 collaborateurs, O.T.E. Ingénierie est identifié comme un spécialiste de la construction de bâtiments publics, tertiaires et industriels de haute technicité."", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/c19515e97d8b45208a59086c4ce81400.png', 'nom': 'O.T.E. INGENIERIE', 'url': 'https://www.ote-ingenierie.com'}",,E,5 ans,"[{'codeFormation': '99999', 'commentaire': 'Pas de commentaire formation', 'exigence': 'E', 'niveauLibelle': 'Bac+5 et plus ou équivalents'}]",098CVNF,Ingénieur Structure Génie Civil                      (H/F),"[{'exigence': 'S', 'libelle': 'Allemand Bon Souhaité'}, {'exigence': 'S', 'libelle': 'Anglais Bon Souhaité'}]","{'codePostal': '68050', 'commune': '68224', 'latitude': 47.74861111, 'libelle': '68 - MULHOUSE', 'longitude': 7.339166666}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVNF'}",,,9,Cadre,"[{'description': 'Capacité à travailler et à se coordonner avec les autres au sein de l’entreprise en confiance et en transparence pour réaliser les objectifs fixés. Exemple : aider ses collègues, savoir demander de l’aide', 'libelle': 'Travail en équipe'}, {'description': 'Capacité à prendre en charge son activité sans devoir être encadré de façon continue. Exemple : travailler efficacement sans responsable', 'libelle': 'Autonomie'}, {'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité', 'libelle': 'Sens de l’organisation'}]",F1106,Ingénierie et études du BTP,"{'complement1': 'Chèque repas', 'complement2': 'CE', 'libelle': 'Annuel de 36000,00 Euros à 42000,00 Euros sur 13 mois'}",71.0,"Ingénierie, études techniques",100 à 199 salariés,CDI,Contrat à durée indéterminée
3,3,3,False,{'courriel': 'ale.le-puy@pole-emploi.fr'},True,Conseiller commercial professionnel / Conseillère commerciale professionnelle secteur bancaire,"[{'code': '101563', 'exigence': 'S', 'libelle': ""Arrêter les termes d'un contrat""}, {'code': '122889', 'exigence': 'S', 'libelle': ""Collecter l'ensemble des justificatifs clients""}, {'code': '117344', 'exigence': 'S', 'libelle': 'Élaborer des propositions commerciales'}, {'code': '122193', 'exigence': 'S', 'libelle': ""Promouvoir un produit financier auprès d'une clientèle""}, {'code': '124230', 'exigence': 'S', 'libelle': ""Réaliser le bilan de la situation financière d'un client""}]",,,"{'coordonnees1': '5 RUE DES CHEVALIERS ST JEAN\nCS 70180', 'coordonnees2': '43009 LE PUY EN VELAY', 'coordonnees3': 'Courriel : ale.le-puy@pole-emploi.fr', 'nom': 'Pôle Emploi LE PUY EN VELAY'}",,2020-01-15T09:05:35+01:00,,,"Nous recherchons pour un de nos partenaires spécialisés en Banque, un(e) conseiller(iere) commercial(e) pour préparer un Bachelor Banque/Assurance en alternance. Vous serez deux jours en formation (Lundi, mardi) au Puy en Velay et le reste du temps en entreprise sur le secteur Haute Loire(plusieurs postes à pourvoir. 
Vos missions : Création et développement d'un portefeuille client, conseil auprès de la clientèle, phoning, action promotion.  Il sera dans un premier temps amené à recueillir, traiter et transmettre les informations liées aux contrats banquaire suite à des appels et/ou visite clients ainsi que diverses tâches administratives liées à la vie de la banque.  
Nous recherchons un profil dynamique ayant une réelle envie de monter en compétences. Notre volonté étant de lui apporter un large soutien aussi bien technique que commercial, en centre de formation mais également en entreprise.
Pour plus d'information , ne pas hésitez à nous contacter .melaine@dea.fr
",35H Horaires normaux,Temps plein,"{'description': 'DEA Formation vous reçoit en formation, dans le cadre de votre contrat en alternance (professionnalisation ou apprentissage)  sur le site de :\n\nLe Puy en Velay -49 rue de la Gazelle - 43000 - selon le lieu de votre contrat de travail pour les BTS -BAC ou BAC+3 Jours de formation : lundi mardi ou jeudi vendredi', 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/ace3ede1be134ff5b015dea9637f15fa.png', 'nom': 'DEA FORMATION', 'url': 'http://www.dea.fr'}",,D,Débutant accepté,"[{'codeFormation': '99999', 'commentaire': 'Pas de commentaire formation', 'exigence': 'E', 'niveauLibelle': 'Bac ou équivalent'}]",098CVJW,Conseiller commercial professionnel / Conseillère commercia (H/F),[],"{'codePostal': '43000', 'commune': '43157', 'latitude': 45.04333333, 'libelle': '43 - LE PUY EN VELAY', 'longitude': 3.884999999}",Contrat apprentissage,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVJW'}",,,2,Ouvrier spécialisé,,C1206,Gestion de clientèle bancaire,"{'commentaire': ""contrat d'apprentissage"", 'complement1': ""contrat d'apprentissage""}",71.0,"Ingénierie, études techniques",0 salarié,CDD,Contrat à durée déterminée - 24 Mois
4,4,4,False,,False,Menuisier / Menuisière,"[{'code': '124985', 'exigence': 'S', 'libelle': 'Assembler des sous-ensembles par procédé mécanique'}, {'code': '120068', 'exigence': 'S', 'libelle': 'Débiter des pièces de rotin ou de bois'}, {'code': '125576', 'exigence': 'S', 'libelle': 'Poser des éléments de quincaillerie'}, {'code': '120066', 'exigence': 'S', 'libelle': 'Réaliser des gabarits de fabrication'}]",,,"{'coordonnees1': 'Courriel : immigrationaquebec@gmail.com', 'courriel': 'immigrationaquebec@gmail.com', 'nom': 'Immigration-a-quebec.com - Mme Melinda LEZEAU'}",,2020-01-15T09:04:41+01:00,,,"Pour notre client spécialisé en béton préfabriqué architectural et structural à Lévis, nous sommes à la recherche de menuisiers.

Vous devrez :
 
-Fabriquer des moules;
-Mesurer et couper le matériel requis à l'aide de banc de scie ou autre pour la fabrication de moule en mélamine, contreplaqué, plastique, acier;
-Être en mesure de lire des dessins;
-Opérer des appareils de levage ou de ponts roulants;
-Effectuer les différentes tâches de préparation de coffrages, nettoyer, huiler et poser des pièces de fixations;  

Poste de jour du lundi au vendredi, 35 heures par semaine pour une rémunération commençant à 16$CAD/heure.
",35H Horaires normaux,Temps plein,"{'description': 'Cabinet de conseil et de recrutement\nImmigration-a-quebec.com est votre partenaire privilégié dans votre intégration, votre installation et surtout vos premiers pas au Québec.\nContact : Mme LEZEAU Immigration a québec <immigrationaquebec@gmail.com>', 'nom': 'Immigration-a-quebec.com'}",,E,6 mois,"[{'codeFormation': '22416', 'commentaire': 'Pas de commentaire formation', 'domaineLibelle': 'Menuiserie bois', 'exigence': 'E', 'niveauLibelle': 'CAP, BEP et équivalents'}]",098CVJG,Menuisiers IAQ (H/F),[],"{'libelle': 'Levis, QC, Canada'}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVJG'}",,,6,Employé qualifié,,H2206,Réalisation de menuiserie bois et tonnellerie,"{'commentaire': '16$CAD / heure', 'complement1': '16$CAD / heure'}",78.0,Activités des agences de placement de main-d'oeuvre,0 salarié,CDD,Contrat à durée déterminée - 24 Mois
5,5,5,False,,False,Conducteur / Conductrice de véhicules Super Lourds,"[{'exigence': 'E', 'libelle': 'carte conducteur'}, {'exigence': 'E', 'libelle': 'FIMO / FCO'}, {'code': '120376', 'exigence': 'S', 'libelle': ""Contrôler l'état de fonctionnement du véhicule""}, {'code': '124795', 'exigence': 'S', 'libelle': 'Définir un itinéraire en fonction des consignes de livraison'}, {'code': '110473', 'exigence': 'S', 'libelle': 'Organiser ou contrôler le chargement des marchandises dans le véhicule'}, {'code': '120377', 'exigence': 'S', 'libelle': ""Réaliser les opérations d'attelage""}, {'code': '110474', 'exigence': 'S', 'libelle': 'Vérifier la présence et la conformité des documents de bord et de transport'}]",,,"{'coordonnees1': 'Courriel : cv-fpotin@sbc-interim.fr', 'courriel': 'cv-fpotin@sbc-interim.fr', 'nom': 'SBC INTERIM - M. François Potin'}",,2020-01-15T09:04:16+01:00,,,"Vous aurez en charge la livraison de produits secs pour des supermarchés (1 à 2 livraisons par jour).
Le chargement s'effectue sur la plateforme (Nîmes ou Garons) et les déchargements dans les magasins à quai avec un transpalette électrique sur la région Occitanie. 

Travail du lundi au samedi avec horaires variables.

Mission d'intérim avec possibilité d'évolution de contrat de travail",35H Horaires normaux,Temps plein,"{'description': ""Spécialiste du recrutement et de l'intérim dans la région depuis plus de 20 ans !"", 'logo': 'https://entreprise.pole-emploi.fr/static/img/logos/Ltqf0usWxhibeLn1H9Lh7wWAKV5wIGU2.png', 'nom': 'SBC INTERIM'}",,E,2 ans,[],098CVHP,Conducteur / Conductrice de véhicules Super Lourds    (H/F),[],"{'codePostal': '30000', 'commune': '30189', 'latitude': 43.83694444, 'libelle': '30 - NIMES', 'longitude': 4.36}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVHP'}",,"[{'exigence': 'E', 'libelle': 'EC - Poids lourd + remorque Exigé'}]",4,"Ouvrier qualifié (P3,P4,OHQ)",,N4101,Conduite de transport de marchandises sur longue distance,"{'libelle': 'Horaire de 10,21 Euros sur 12 mois'}",78.0,Activités des agences de travail temporaire,3 à 5 salariés,MIS,Mission intérimaire - 6 Mois
6,6,6,False,{'courriel': 'recrutementgolfesttropez@pole-emploi.net'},False,Serveur / Serveuse en restauration,"[{'code': '104323', 'exigence': 'S', 'libelle': ""Accueillir le client à son arrivée au restaurant, l'installer à une table et lui présenter la carte""}, {'code': '124015', 'exigence': 'S', 'libelle': 'Débarrasser une table'}, {'code': '117933', 'exigence': 'S', 'libelle': 'Dresser les tables'}, {'code': '124014', 'exigence': 'S', 'libelle': 'Nettoyer une salle de réception'}, {'code': '117932', 'exigence': 'S', 'libelle': ""Réaliser la mise en place de la salle et de l'office""}]",,,"{'coordonnees1': 'CS 80083 98 RUE CARNOT', 'coordonnees2': '83310 COGOLIN', 'coordonnees3': 'Courriel : recrutementgolfesttropez@pole-emploi.net', 'nom': 'Pôle Emploi GOLFE ST TROPEZ'}",,2020-01-15T09:02:54+01:00,,,"Pour un restaurant traditionnel du Golfe de Saint-Tropez, vous effectuez le service des plats et participez à l'accueil de la clientèle.
Vous travaillez sur le service du midi et du soir (18h-23h30)

Poste NOURRI et LOGE





",35H Horaires normaux,Temps plein,{'nom': 'LE PIZZAIOLE'},,E,3 ans,[],098CVGV,chef de rang   (H/F),"[{'exigence': 'S', 'libelle': 'Anglais Bon Souhaité'}]","{'codePostal': '83240', 'commune': '83036', 'latitude': 43.17111111, 'libelle': '83 - CAVALAIRE SUR MER', 'longitude': 6.529166666}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVGV'}",,,6,Employé qualifié,,G1803,Service en restauration,"{'commentaire': '1900€ nets / à négocier', 'complement1': '1900€ nets / à négocier'}",56.0,Restauration traditionnelle,10 à 19 salariés,CDD,Contrat à durée déterminée - 9 Mois
7,7,7,False,,False,Coiffeur / Coiffeuse,"[{'code': '101901', 'exigence': 'S', 'libelle': ""Accueillir le client et l'installer""}, {'code': '101904', 'exigence': 'S', 'libelle': 'Couper les cheveux (dégradés, effilés, piquetés)'}, {'code': '101909', 'exigence': 'S', 'libelle': 'Diagnostic capillaire'}, {'code': '101902', 'exigence': 'S', 'libelle': 'Identifier la coiffure attendue (coupe, coloration, traitement, ...) et conseiller le client (morphologie, implantation des cheveux, ...)'}, {'code': '114126', 'exigence': 'S', 'libelle': 'Préparer et appliquer des produits colorants, décolorants (mèches, ...)'}, {'code': '101905', 'exigence': 'S', 'libelle': 'Procéder à la mise en forme ou en volume des cheveux (enroulement, bouclage, brushing, ...), au coiffage, à la fixation ou brillance (laque, gel, ...)'}, {'code': '101903', 'exigence': 'S', 'libelle': 'Réaliser le diagnostic capillaire, les préparations du lavage et le shampoing'}, {'code': '101915', 'exigence': 'S', 'libelle': ""Techniques de décoloration, de coloration de cheveux (contraste, ton sur ton, d'oxydation, ...)""}, {'exigence': 'S', 'libelle': 'coloriste'}]",,,"{'coordonnees1': 'Courriel : immigrationaquebec@gmail.com', 'courriel': 'immigrationaquebec@gmail.com', 'nom': 'Immigration-a-quebec.com - Mme Melinda LEZEAU'}",,2020-01-15T08:58:42+01:00,,,"Vous devez maitriser  
Les coupes;
-Les couleurs et mèches
-Les séchages et brushing

Expérience requise : 3 ans
Diplôme exigé BEP Coiffure

Emploi à temps plein de jour et de soir. 
vous serez en poste dans l'un des 4 salons de l'enseigne, tous dans la ville de Québec.

Rémunération 12$/h, + 35% sur le chiffre d'affaire et 10% sur les ventes + pourboires.


",35H Horaires normaux,Temps plein,"{'description': 'Cabinet de conseil et de recrutement\nImmigration-a-quebec.com est votre partenaire privilégié dans votre intégration, votre installation et surtout vos premiers pas au Québec.\nContact : Mme LEZEAU Immigration a québec <immigrationaquebec@gmail.com>', 'nom': 'Immigration-a-quebec.com'}",,E,3 ans,"[{'codeFormation': '42061', 'commentaire': 'Pas de commentaire formation', 'domaineLibelle': 'Spécialisation coiffure', 'exigence': 'E', 'niveauLibelle': 'CAP, BEP et équivalents'}]",098CVDB,Coiffeur / Coiffeuse IAQ (H/F),[],"{'libelle': 'Ville de Québec, QC, Canada'}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVDB'}",,,6,Employé qualifié,"[{'description': 'Capacité à planifier, à prioriser, à anticiper des actions en tenant compte des moyens, des ressources, des objectifs et du calendrier pour les réaliser. Exemple : planifier, ordonner ses actions par priorité', 'libelle': 'Sens de l’organisation'}]",D1202,Coiffure,"{'commentaire': '12 $CAD / h +pourboires', 'complement1': '12 $CAD / h +pourboires'}",78.0,Activités des agences de placement de main-d'oeuvre,0 salarié,CDI,Contrat à durée indéterminée
8,8,8,False,,False,Mécanicien / Mécanicienne poids lourds,"[{'code': '107046', 'exigence': 'S', 'libelle': 'Changer ou réparer les moteurs, boîtes de vitesse, embrayages, suspensions, démarreurs'}, {'code': '118361', 'exigence': 'S', 'libelle': 'Détecter les dysfonctionnements du véhicule et des équipements'}, {'code': '118362', 'exigence': 'S', 'libelle': 'Déterminer une solution technique de remise en état du véhicule et des équipements'}, {'code': '116797', 'exigence': 'S', 'libelle': 'Intervention de service rapide'}, {'code': '116708', 'exigence': 'S', 'libelle': ""Procédures d'entretien de véhicules""}]",,,"{'coordonnees1': 'Courriel : immigrationaquebec@gmail.com', 'courriel': 'immigrationaquebec@gmail.com', 'nom': 'Immigration-a-quebec.com - Mme Melinda LEZEAU'}",,2020-01-15T08:56:06+01:00,,,"Pour notre client, installé à Lévis et spécialisé en transport longue distance nous sommes à la recherche de mécaniciens poids lourds pour l'entretien des camions.
-Réparer les éléments défectueux de divers systèmes au niveau des véhicules lourds de l'entreprise (exemple : DPF, système électronique et électrique etc..)
-Faire des inspections préventives, mécanique générale sur camion et remorque
-Faire de la soudure (exemples : aluminium, acier, etc..)
-Réparer et calibrer des systèmes pneumatiques
-Effectuer les autres tâches connexes pouvant s'ajouter à cette description.

",40H Horaires normaux,Temps plein,"{'description': 'Cabinet de conseil et de recrutement\nImmigration-a-quebec.com est votre partenaire privilégié dans votre intégration, votre installation et surtout vos premiers pas au Québec.\nContact : Mme LEZEAU Immigration a québec <immigrationaquebec@gmail.com>', 'nom': 'Immigration-a-quebec.com'}",,E,2 ans,"[{'codeFormation': '23637', 'commentaire': 'en véhicule lourds', 'domaineLibelle': 'Mécanique automobile', 'exigence': 'E', 'niveauLibelle': 'CAP, BEP et équivalents'}]",098CVCF,Mécanicien / Mécanicienne poids lourds IAQ (H/F),[],"{'libelle': 'Levis, QC, Canada'}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVCF'}",,,6,Employé qualifié,,I1604,Mécanique automobile et entretien de véhicules,"{'commentaire': 'à partir de 25$CAD/hr', 'complement1': 'à partir de 25$CAD/hr'}",78.0,Activités des agences de placement de main-d'oeuvre,0 salarié,CDI,Contrat à durée indéterminée
9,9,9,False,,False,Orthoptiste,"[{'code': '107558', 'exigence': 'S', 'libelle': ""Cerner le type de dysfonctionnements (strabisme, non convergence), les difficultés (maux de tête, vision double) et l'environnement du patient""}, {'code': '107561', 'exigence': 'S', 'libelle': ""Concevoir le programme de la séance d'orthoptie et adapter les exercices selon les réactions du patient""}, {'code': '107560', 'exigence': 'S', 'libelle': ""Concevoir le projet de rééducation ou de réadaptation orthoptique et arrêter les conditions d'intervention selon la situation du patient""}, {'code': '107559', 'exigence': 'S', 'libelle': 'Déterminer le besoin de rééducation orthoptique à partir de tests et informer le patient'}, {'code': '107477', 'exigence': 'S', 'libelle': ""Réaliser le bilan de fin de rééducation avec la personne et échanger des informations avec le médecin, l'enseignant, ...""}]",Horaires adaptables,,"{'commentaire': 'accompagné des photocopîes de vos diplômes', 'coordonnees2': '44 AV JEAN JAURES BP 80180', 'coordonnees3': '18200 ST AMAND MONTROND', 'nom': 'CENTRE HOSPITALIER SAINT AMAND MONTRON - Mme fatiha zidane'}",,2020-01-15T08:55:00+01:00,,,"MISSION GENERALE DU POSTE:
Elaborer un diagnostic, dépister, évaluer, rééduquer, réadapter et explorer les troubles et déficiences de la vision d'une personne.
Réaliser des bilans orthoptiques, des actes et des techniques d'exploration, de rééducation et de réadaptation orthoptique.

ACTIVITES DU POSTE:
-Education thérapeutique dans le domaine de l'orthoptie auprès du patient et de son entourage
-Formation et information de nouveaux personnels et stagiaires
-Organisation des activités et gestion des ressources
-Prévention et dépistage des troubles visuels
-Réalisation de bilans en vue du diagnostic orthoptique et réalisation d'explorations fonctionnelles
-Réalisation de soins, de traitements orthoptiques individuels et d'actes techniques
-Réalisation de travaux de recherche en orthoptie
-Veille professionnelle et évolution des pratiques professionnelles

Votre contrat est à la fois public et privé.
",35H Horaires variables,Temps plein,{'nom': 'CENTRE HOSPITALIER SAINT AMAND MONTRON'},souhaitée,E,1 an - souhaitée,"[{'codeFormation': '43405', 'commentaire': ""Certificat de capacité d'orthoptie"", 'domaineLibelle': 'Orthoptie', 'exigence': 'E', 'niveauLibelle': 'Bac+3, Bac+4 ou équivalents'}]",098CVBP,Orthoptiste,[],"{'codePostal': '18200', 'commune': '18197', 'latitude': 46.72277778, 'libelle': '18 - ST AMAND MONTROND', 'longitude': 2.505}",Contrat travail,1,"{'origine': '1', 'partenaires': [], 'urlOrigine': 'https://candidat.pole-emploi.fr/offres/recherche/detail/098CVBP'}",,,7,Technicien,,J1407,Orthoptique,"{'commentaire': '+ mutuelle + plan épargne entreprise', 'complement1': '+ mutuelle + plan épargne entreprise', 'libelle': 'Mensuel de 2000 Euros sur 12 mois'}",86.0,Activités hospitalières,500 à 999 salariés,CDI,Contrat à durée indéterminée
